Source_nodes	Target_nodes	Score	Source
ADAMTS14	COL24A1	1	Others
ADAMTS14	COL27A1	1	Others
ADAMTS14	COL2A1	1	Others
ADAMTS14	COL3A1	1	Others
ADAMTS14	COL5A1	1	Others
ADAMTS14	COL5A2	1	Others
ADAMTS14	COL5A3	1	Others
ADAMTS2	COL11A1	1	Others
ADAMTS2	COL11A2	1	Others
ADAMTS2	COL1A1	1	Others
ADAMTS2	COL1A2	1	Others
ADAMTS2	COL24A1	1	Others
ADAMTS2	COL27A1	1	Others
ADAMTS2	COL2A1	1	Others
ADAMTS2	COL3A1	1	Others
ADAMTS2	COL5A1	1	Others
ADAMTS2	COL5A2	1	Others
ADAMTS2	COL5A3	1	Others
ADAMTS3	COL11A1	1	Others
ADAMTS3	COL11A2	1	Others
ADAMTS3	COL1A1	1	Others
ADAMTS3	COL1A2	1	Others
ADAMTS3	COL24A1	1	Others
ADAMTS3	COL27A1	1	Others
ADAMTS3	COL2A1	1	Others
ADAMTS3	COL3A1	1	Others
ADAMTS3	COL5A1	1	Others
ADAMTS3	COL5A2	1	Others
ADAMTS3	COL5A3	1	Others
ADAMTS4	BCAN	1	Others
ADAMTS5	BCAN	1	Others
ADAP1	KIF13B	1	Others
ADCY1	CAP1	1	Others
ADCY1	GNAL	1	Others
ADCY1	GNAS	-1	Others
ADCY1	PRKACA	1	Kegg
ADCY1	PRKACB	1	Kegg
ADCY1	PRKACG	1	Kegg
ADCY1	RAPGEF3	1	Kegg
ADCY1	RAPGEF4	1	Kegg
ADCY10	PRKACA	1	Kegg
ADCY10	PRKACB	1	Kegg
ADCY10	PRKACG	1	Kegg
ADCY2	GNAL	1	Others
ADCY2	GNAS	-1	Others
ADCY2	PRKACA	1	Kegg
ADCY2	PRKACB	1	Kegg
ADCY2	PRKACG	1	Kegg
ADCY2	RAPGEF3	1	Kegg
ADCY2	RAPGEF4	1	Kegg
ADCY3	GNAL	1	Others
ADCY3	GNAS	-1	Others
ADCY3	PRKACA	1	Kegg
ADCY3	PRKACB	1	Kegg
ADCY3	PRKACG	1	Kegg
ADCY3	RAPGEF3	1	Kegg
ADCY3	RAPGEF4	1	Kegg
ADCY4	GNAL	1	Others
ADCY4	GNAS	-1	Others
ADCY4	PRKACA	1	Kegg
ADCY4	PRKACB	1	Kegg
ADCY4	PRKACG	1	Kegg
ADCY4	RAPGEF3	1	Kegg
ADCY4	RAPGEF4	1	Kegg
ADCY5	GNAL	1	Others
ADCY5	GNAS	-1	Others
ADCY5	PRKACA	1	Kegg
ADCY5	PRKACB	1	Kegg
ADCY5	PRKACG	1	Kegg
ADCY5	RAPGEF3	1	Kegg
ADCY5	RAPGEF4	1	Kegg
ADCY6	GNAL	1	Others
ADCY6	GNAS	-1	Others
ADCY6	PRKACA	1	Kegg
ADCY6	PRKACB	1	Kegg
ADCY6	PRKACG	1	Kegg
ADCY6	RAPGEF3	1	Kegg
ADCY6	RAPGEF4	1	Kegg
ADCY7	GNAL	1	Others
ADCY7	GNAS	-1	Others
ADCY7	PRKACA	1	Kegg
ADCY7	PRKACB	1	Kegg
ADCY7	PRKACG	1	Kegg
ADCY7	RAPGEF3	1	Kegg
ADCY7	RAPGEF4	1	Kegg
ADCY8	GNAL	1	Others
ADCY8	GNAS	-1	Others
ADCY8	PRKACA	1	Kegg
ADCY8	PRKACB	1	Kegg
ADCY8	PRKACG	1	Kegg
ADCY8	RAPGEF3	1	Kegg
ADCY8	RAPGEF4	1	Kegg
ADCY9	GNAL	1	Others
ADCY9	GNAS	-1	Others
ADCY9	PRKACA	1	Kegg
ADCY9	PRKACB	1	Kegg
ADCY9	PRKACG	1	Kegg
ADCY9	RAPGEF3	1	Kegg
ADCY9	RAPGEF4	1	Kegg
ADCYAP1	ADCYAP1R1	1	Kegg
ADCYAP1	ADORA2A	1	Kegg
ADCYAP1	ADORA2B	1	Others
ADCYAP1	ADRB1	1	Kegg
ADCYAP1	DRD1	1	Kegg
ADCYAP1	DRD5	1	Kegg
ADCYAP1	FSHR	1	Kegg
ADCYAP1	GIPR	1	Kegg
ADCYAP1	GLP1R	1	Kegg
ADCYAP1	GNAS	1	Others
ADCYAP1	GNB1	1	Others
ADCYAP1	GNG2	1	Others
ADCYAP1	GPR119	1	Kegg
ADCYAP1	HTR4	1	Kegg
ADCYAP1	HTR6	1	Kegg
ADCYAP1	LHCGR	1	Kegg
ADCYAP1	MC2R	1	Kegg
ADCYAP1	NPR1	1	Kegg
ADCYAP1	PTGER2	1	Kegg
ADCYAP1	TSHR	1	Kegg
ADCYAP1	VIPR2	1	Kegg
ADCYAP1R1	ADORA2B	1	Others
ADCYAP1R1	GNA11	1	Kegg
ADCYAP1R1	GNAQ	1	Kegg
ADCYAP1R1	GNAS	1	Kegg; Others
ADCYAP1R1	GNB1	1	Kegg; Others
ADCYAP1R1	GNB2	1	Kegg
ADCYAP1R1	GNB3	1	Kegg
ADCYAP1R1	GNB4	1	Kegg
ADCYAP1R1	GNB5	1	Kegg
ADCYAP1R1	GNG10	1	Kegg
ADCYAP1R1	GNG11	1	Kegg
ADCYAP1R1	GNG12	1	Kegg
ADCYAP1R1	GNG13	1	Kegg
ADCYAP1R1	GNG2	1	Kegg; Others
ADCYAP1R1	GNG3	1	Kegg
ADCYAP1R1	GNG4	1	Kegg
ADCYAP1R1	GNG5	1	Kegg
ADCYAP1R1	GNG7	1	Kegg
ADCYAP1R1	GNG8	1	Kegg
ADCYAP1R1	GNGT1	1	Kegg
ADCYAP1R1	GNGT2	1	Kegg
ADGRF5	ADORA2A	-1	Others
ADGRF5	ADORA2B	-1	Others
ADGRF5	ADRA2A	-1	Others
ADGRF5	ADRA2C	-1	Others
ADGRF5	P2RY2	-1	Others
